Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_brisbane,2,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,212.69376802444458,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,2,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,212.80920124053955,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,3,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,325.79729676246643,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,3,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,326.4114546775818,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,4,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,475.0620024204254,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,4,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,471.6664845943451,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,5,106,31,230,154,0.2629558541266795,0.31547619047619047,0.4076923076923077,0.11877394636015326,0.35570469798657717,666.6994676589966,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,5,57,260,1,203,0.6084452975047985,0.9827586206896551,0.21923076923076923,0.9961685823754789,0.3584905660377359,665.7566480636597,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,6,127,203,58,133,0.6333973128598849,0.6864864864864865,0.48846153846153845,0.7777777777777778,0.5707865168539326,935.4962060451508,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,6,194,169,92,66,0.6967370441458733,0.6783216783216783,0.7461538461538462,0.6475095785440613,0.7106227106227107,934.58513879776,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,7,170,94,167,90,0.5067178502879078,0.5044510385756676,0.6538461538461539,0.36015325670498083,0.5695142378559463,1280.9522924423218,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,7,90,167,94,170,0.4932821497120921,0.4891304347826087,0.34615384615384615,0.6398467432950191,0.4054054054054054,1281.7395074367523,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,8,127,152,109,133,0.5355086372360844,0.538135593220339,0.48846153846153845,0.5823754789272031,0.5120967741935484,1723.6030168533325,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,8,106,136,125,154,0.46449136276391556,0.4588744588744589,0.4076923076923077,0.5210727969348659,0.4317718940936863,1726.0435564517975,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,9,58,159,102,202,0.4165067178502879,0.3625,0.2230769230769231,0.6091954022988506,0.2761904761904762,2372.408127784729,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,9,53,196,65,207,0.4779270633397313,0.4491525423728814,0.20384615384615384,0.7509578544061303,0.2804232804232804,2375.4784030914307,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,10,188,123,138,72,0.5969289827255279,0.5766871165644172,0.7230769230769231,0.47126436781609193,0.6416382252559728,3428.663934469223,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,10,187,178,83,73,0.7005758157389635,0.6925925925925925,0.7192307692307692,0.6819923371647509,0.7056603773584905,3424.163408756256,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,2,0,521,0,521,0.5,0,0.0,1.0,0,416.9874827861786,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,2,0,521,0,521,0.5,0,0.0,1.0,0,417.4266576766968,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,3,521,0,521,0,0.5,0.5,1.0,0.0,0.6666666666666666,639.2031276226044,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,3,0,521,0,521,0.5,0,0.0,1.0,0,637.3771865367889,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,4,0,521,0,521,0.5,0,0.0,1.0,0,938.9464387893677,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,4,521,0,521,0,0.5,0.5,1.0,0.0,0.6666666666666666,939.5414071083069,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
